service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
I2 UIMF,0,0,0,0,0,0,0,20141221,20150516
GNX1 SHOW,0,0,0,0,0,0,0,20141221,20150516
SRE1,0,0,0,0,0,0,0,20141221,20150516
R4MF,0,0,0,0,0,0,0,20141221,20150516
SV1SA,0,0,0,0,0,0,0,20141221,20150516
I6UISA,0,0,0,0,0,0,0,20141221,20150516
GN5MF EV,0,0,0,0,0,0,0,20141221,20150516
GNX2,0,0,0,0,0,0,0,20141221,20150516
Y7 MF EV,0,0,0,0,0,0,0,20141221,20150516
GN8 BACKUP,0,0,0,0,0,0,0,20141221,20150516
Y6SCH,0,0,0,0,0,0,0,20141221,20150516
GN6MF,0,0,0,0,0,0,0,20141221,20150516
L2SA,0,0,0,0,0,0,0,20141221,20150516
9A SHOW WED,0,0,0,0,0,0,0,20141221,20150516
Y6MF,0,0,0,0,0,0,0,20141221,20150516
3N SHOW WED,0,0,0,0,0,0,0,20141221,20150516
AB2 MF,0,0,0,0,0,0,0,20141221,20150516
GR2SA,0,0,0,0,0,0,0,20141221,20150516
I8/4S NOSCH NOUI,0,0,0,0,0,0,0,20141221,20150516
GN1MF,0,0,0,0,0,0,0,20141221,20150516
GN2SA,0,0,0,0,0,0,0,20141221,20150516
N3SCHWED,0,0,0,0,0,0,0,20141221,20150516
GR3,0,0,0,0,0,0,0,20141221,20150516
SV1SU,0,0,0,0,0,0,0,20141221,20150516
T1UISU,0,0,0,0,0,0,0,20141221,20150516
Y1SU,0,0,0,0,0,0,0,20141221,20150516
SV3 UIMF,0,0,0,0,0,0,0,20141221,20150516
L1NOSCH,0,0,0,0,0,0,0,20141221,20150516
T2UIMF,0,0,0,0,0,0,0,20141221,20150516
GN3MF EV,0,0,0,0,0,0,0,20141221,20150516
B3 SCH WED,0,0,0,0,0,0,0,20141221,20150516
N2,0,0,0,0,0,0,0,20141221,20150516
GN1SU,0,0,0,0,0,0,0,20141221,20150516
10W UHS UMS,0,0,0,0,0,0,0,20141221,20150516
I5UIF,0,0,0,0,0,0,0,20141221,20150516
T1SA,0,0,0,0,0,0,0,20141221,20150516
R3MF,0,0,0,0,0,0,0,20141221,20150516
I2 UIF2,0,0,0,0,0,0,0,20141221,20150516
Y5UISA,0,0,0,0,0,0,0,20141221,20150516
Y8MF EV,0,0,0,0,0,0,0,20141221,20150516
L1SCH,0,0,0,0,0,0,0,20141221,20150516
SV4 SUI NOSCH,0,0,0,0,0,0,0,20141221,20150516
BZ1MF,0,0,0,0,0,0,0,20141221,20150516
I1UISA,0,0,0,0,0,0,0,20141221,20150516
Y6MF EV,0,0,0,0,0,0,0,20141221,20150516
GN9MF,0,0,0,0,0,0,0,20141221,20150516
NE2WED,0,0,0,0,0,0,0,20141221,20150516
1N SHOW,0,0,0,0,0,0,0,20141221,20150516
BA3MF,0,0,0,0,0,0,0,20141221,20150516
T2SU,0,0,0,0,0,0,0,20141221,20150516
T4UIMF,0,0,0,0,0,0,0,20141221,20150516
GN6UISU,0,0,0,0,0,0,0,20141221,20150516
T2UISA,0,0,0,0,0,0,0,20141221,20150516
Y5UISU,0,0,0,0,0,0,0,20141221,20150516
GNX4MF,0,0,0,0,0,0,0,20141221,20150516
BA5MF,0,0,0,0,0,0,0,20141221,20150516
GN6SU,0,0,0,0,0,0,0,20141221,20150516
N3MF,0,0,0,0,0,0,0,20141221,20150516
Y4,0,0,0,0,0,0,0,20141221,20150516
O3,0,0,0,0,0,0,0,20141221,20150516
Y5SA,0,0,0,0,0,0,0,20141221,20150516
GR4SA,0,0,0,0,0,0,0,20141221,20150516
P1SCH,0,0,0,0,0,0,0,20141221,20150516
7E SHOW#1 WED,0,0,0,0,0,0,0,20141221,20150516
L1SU,0,0,0,0,0,0,0,20141221,20150516
I2 UIF,0,0,0,0,0,0,0,20141221,20150516
L1SA,0,0,0,0,0,0,0,20141221,20150516
B2MF,0,0,0,0,0,0,0,20141221,20150516
L2 MF,0,0,0,0,0,0,0,20141221,20150516
3N#3 SHOW,0,0,0,0,0,0,0,20141221,20150516
B3 SCH MTTF,0,0,0,0,0,0,0,20141221,20150516
G4MF,0,0,0,0,0,0,0,20141221,20150516
GN5SU,0,0,0,0,0,0,0,20141221,20150516
I8UISU,0,0,0,0,0,0,0,20141221,20150516
T2UISU,0,0,0,0,0,0,0,20141221,20150516
I3 UIF1,0,0,0,0,0,0,0,20141221,20150516
1S SHOW,0,0,0,0,0,0,0,20141221,20150516
GR5SCH,0,0,0,0,0,0,0,20141221,20150516
GR3SA,0,0,0,0,0,0,0,20141221,20150516
I7UISU,0,0,0,0,0,0,0,20141221,20150516
Y3UIMF,0,0,0,0,0,0,0,20141221,20150516
G2,0,0,0,0,0,0,0,20141221,20150516
Y3SU,0,0,0,0,0,0,0,20141221,20150516
I3UIMF,0,0,0,0,0,0,0,20141221,20150516
I8/4S SCHWED,0,0,0,0,0,0,0,20141221,20150516
GR5MF,0,0,0,0,0,0,0,20141221,20150516
CENTRAL EXP,0,0,0,0,0,0,0,20141221,20150516
GN8MF EV,0,0,0,0,0,0,0,20141221,20150516
G6MF,0,0,0,0,0,0,0,20141221,20150516
G7MF,0,0,0,0,0,0,0,20141221,20150516
BA2MF EV,0,0,0,0,0,0,0,20141221,20150516
GNX5MF EV,0,0,0,0,0,0,0,20141221,20150516
SV1UISA,0,0,0,0,0,0,0,20141221,20150516
GNX1SCH,0,0,0,0,0,0,0,20141221,20150516
3S / 5W SHOW SCH NOUI,0,0,0,0,0,0,0,20141221,20150516
BA2,0,0,0,0,0,0,0,20141221,20150516
I4-3UIF,0,0,0,0,0,0,0,20141221,20150516
T2UIF,0,0,0,0,0,0,0,20141221,20150516
LM2MF,0,0,0,0,0,0,0,20141221,20150516
I8/4S SCHWED NOUI,0,0,0,0,0,0,0,20141221,20150516
P1MF,0,0,0,0,0,0,0,20141221,20150516
B1 NOSCH,0,0,0,0,0,0,0,20141221,20150516
T3MF EV,0,0,0,0,0,0,0,20141221,20150516
BZ1MF EV,0,0,0,0,0,0,0,20141221,20150516
N3SCHMF,0,0,0,0,0,0,0,20141221,20150516
SV2 MF,0,0,0,0,0,0,0,20141221,20150516
I6-4 UIF,0,0,0,0,0,0,0,20141221,20150516
9A/5E SHOW SCH MTTF,0,0,0,0,0,0,0,20141221,20150516
SV4 NOSCH NOUI,0,0,0,0,0,0,0,20141221,20150516
Y3 MF EV,0,0,0,0,0,0,0,20141221,20150516
I1-4 UIMF,0,0,0,0,0,0,0,20141221,20150516
9B / 7E SHOW,0,0,0,0,0,0,0,20141221,20150516
R3SA,0,0,0,0,0,0,0,20141221,20150516
GN7MF,0,0,0,0,0,0,0,20141221,20150516
R6UIMF,0,0,0,0,0,0,0,20141221,20150516
LM2SU,0,0,0,0,0,0,0,20141221,20150516
GN3UISA,0,0,0,0,0,0,0,20141221,20150516
GN8,0,0,0,0,0,0,0,20141221,20150516
B2MF EV,0,0,0,0,0,0,0,20141221,20150516
9A SHOW SCHWED,0,0,0,0,0,0,0,20141221,20150516
Y2SA,0,0,0,0,0,0,0,20141221,20150516
SV2 UIMF,0,0,0,0,0,0,0,20141221,20150516
I1LIM EV,0,0,0,0,0,0,0,20141221,20150516
GN4SA,0,0,0,0,0,0,0,20141221,20150516
T1UIMF,0,0,0,0,0,0,0,20141221,20150516
B3MF,0,0,0,0,0,0,0,20141221,20150516
I4UI,0,0,0,0,0,0,0,20141221,20150516
GR5SA,0,0,0,0,0,0,0,20141221,20150516
5W #2 SHOW SCH,0,0,0,0,0,0,0,20141221,20150516
G5MF,0,0,0,0,0,0,0,20141221,20150516
G8MF,0,0,0,0,0,0,0,20141221,20150516
Y2,0,0,0,0,0,0,0,20141221,20150516
I3UIF,0,0,0,0,0,0,0,20141221,20150516
5E#3 SHOW WED,0,0,0,0,0,0,0,20141221,20150516
I8/4S NOSCH UIF,0,0,0,0,0,0,0,20141221,20150516
Y7 UIMF,0,0,0,0,0,0,0,20141221,20150516
1N SHOW WED,0,0,0,0,0,0,0,20141221,20150516
I5 UIF1,0,0,0,0,0,0,0,20141221,20150516
O4,0,0,0,0,0,0,0,20141221,20150516
I1UISU,0,0,0,0,0,0,0,20141221,20150516
Y2UISA,0,0,0,0,0,0,0,20141221,20150516
I3UISU,0,0,0,0,0,0,0,20141221,20150516
I4-3UIMF,0,0,0,0,0,0,0,20141221,20150516
RUBY1SU,0,0,0,0,0,0,0,20141221,20150516
BRONZE SCHWED BACKUP,0,0,0,0,0,0,0,20141221,20150516
RUB2MF,0,0,0,0,0,0,0,20141221,20150516
GR1SA,0,0,0,0,0,0,0,20141221,20150516
G3MF,0,0,0,0,0,0,0,20141221,20150516
N1,0,0,0,0,0,0,0,20141221,20150516
LM1MF,0,0,0,0,0,0,0,20141221,20150516
I5UISA,0,0,0,0,0,0,0,20141221,20150516
SV1UI,0,0,0,0,0,0,0,20141221,20150516
BZ1SCH,0,0,0,0,0,0,0,20141221,20150516
7W/7E/5E SHOW,0,0,0,0,0,0,0,20141221,20150516
R1SA,0,0,0,0,0,0,0,20141221,20150516
7E/5E SHOW SCH,0,0,0,0,0,0,0,20141221,20150516
SV1UISU,0,0,0,0,0,0,0,20141221,20150516
GR1,0,0,0,0,0,0,0,20141221,20150516
I8,0,0,0,0,0,0,0,20141221,20150516
LM1SA,0,0,0,0,0,0,0,20141221,20150516
B1 SCH,0,0,0,0,0,0,0,20141221,20150516
Y4SU,0,0,0,0,0,0,0,20141221,20150516
5W #1 SHOW SCH,0,0,0,0,0,0,0,20141221,20150516
GNX1MF EV,0,0,0,0,0,0,0,20141221,20150516
R2MF,0,0,0,0,0,0,0,20141221,20150516
BB3,0,0,0,0,0,0,0,20141221,20150516
I2 UIF1,0,0,0,0,0,0,0,20141221,20150516
R1MF,0,0,0,0,0,0,0,20141221,20150516
I1SU,0,0,0,0,0,0,0,20141221,20150516
G3UIMF,0,0,0,0,0,0,0,20141221,20150516
I3UISA,0,0,0,0,0,0,0,20141221,20150516
Y1UIMF,0,0,0,0,0,0,0,20141221,20150516
CENTRAL EX WED,0,0,0,0,0,0,0,20141221,20150516
Y4SA,0,0,0,0,0,0,0,20141221,20150516
7W / 5E #2 WED,0,0,0,0,0,0,0,20141221,20150516
I2UISA,0,0,0,0,0,0,0,20141221,20150516
Y3 MF,0,0,0,0,0,0,0,20141221,20150516
GN9 SCH WED,0,0,0,0,0,0,0,20141221,20150516
GN5SA,0,0,0,0,0,0,0,20141221,20150516
GN3 SCH,0,0,0,0,0,0,0,20141221,20150516
3S/5W SHOW#2,0,0,0,0,0,0,0,20141221,20150516
SV2 UIF,0,0,0,0,0,0,0,20141221,20150516
Y7 MF,0,0,0,0,0,0,0,20141221,20150516
3S / 5W SHOW,0,0,0,0,0,0,0,20141221,20150516
I4UISU,0,0,0,0,0,0,0,20141221,20150516
Y2UISU,0,0,0,0,0,0,0,20141221,20150516
T3MF NONUI,0,0,0,0,0,0,0,20141221,20150516
GNX1MF,0,0,0,0,0,0,0,20141221,20150516
I5UIMF,0,0,0,0,0,0,0,20141221,20150516
I1-4 UIF,0,0,0,0,0,0,0,20141221,20150516
3S/5W SHOW#2 WED,0,0,0,0,0,0,0,20141221,20150516
I8/4S UIMTH SCH,0,0,0,0,0,0,0,20141221,20150516
7E SHOW WED,0,0,0,0,0,0,0,20141221,20150516
GN3MF,0,0,0,0,0,0,0,20141221,20150516
I7UISA,0,0,0,0,0,0,0,20141221,20150516
AB3 MF,0,0,0,0,0,0,0,20141221,20150516
1S SHOW WED,0,0,0,0,0,0,0,20141221,20150516
5E / 8BZ WED,0,0,0,0,0,0,0,20141221,20150516
GR4,0,0,0,0,0,0,0,20141221,20150516
I8 EVE,0,0,0,0,0,0,0,20141221,20150516
GN3SU,0,0,0,0,0,0,0,20141221,20150516
GREY SHOW UI,0,0,0,0,0,0,0,20141221,20150516
I8/4S SCH UIF,0,0,0,0,0,0,0,20141221,20150516
AB3 SA,0,0,0,0,0,0,0,20141221,20150516
GN1SA,0,0,0,0,0,0,0,20141221,20150516
6E/10E SCH MTTF,0,0,0,0,0,0,0,20141221,20150516
T1UISA,0,0,0,0,0,0,0,20141221,20150516
L2 MF EV,0,0,0,0,0,0,0,20141221,20150516
6E/7E SHOW SCHWED,0,0,0,0,0,0,0,20141221,20150516
GN4 MF,0,0,0,0,0,0,0,20141221,20150516
SV2 MF EV,0,0,0,0,0,0,0,20141221,20150516
AB1 MF,0,0,0,0,0,0,0,20141221,20150516
5E SHOW,0,0,0,0,0,0,0,20141221,20150516
Y8,0,0,0,0,0,0,0,20141221,20150516
I8/4S SCH UIMTH NOUI,0,0,0,0,0,0,0,20141221,20150516
I1LIM,0,0,0,0,0,0,0,20141221,20150516
Y1SA,0,0,0,0,0,0,0,20141221,20150516
GNX5MF,0,0,0,0,0,0,0,20141221,20150516
ORANGE / GREEN SCH,0,0,0,0,0,0,0,20141221,20150516
GN2SU,0,0,0,0,0,0,0,20141221,20150516
GR2,0,0,0,0,0,0,0,20141221,20150516
B2 UIMF,0,0,0,0,0,0,0,20141221,20150516
SV4 SCH NOUI,0,0,0,0,0,0,0,20141221,20150516
SV4 SCH WED,0,0,0,0,0,0,0,20141221,20150516
O1,0,0,0,0,0,0,0,20141221,20150516
I6-4 UIMF,0,0,0,0,0,0,0,20141221,20150516
3N#3 SHOW WED,0,0,0,0,0,0,0,20141221,20150516
I6UIMF,0,0,0,0,0,0,0,20141221,20150516
I1SA,0,0,0,0,0,0,0,20141221,20150516
R5MF,0,0,0,0,0,0,0,20141221,20150516
I6UISU,0,0,0,0,0,0,0,20141221,20150516
O2,0,0,0,0,0,0,0,20141221,20150516
GN7SU,0,0,0,0,0,0,0,20141221,20150516
Y7 UIF,0,0,0,0,0,0,0,20141221,20150516
GN5MF,0,0,0,0,0,0,0,20141221,20150516
SV2UISA,0,0,0,0,0,0,0,20141221,20150516
RUB2MF EV,0,0,0,0,0,0,0,20141221,20150516
RUB1MF,0,0,0,0,0,0,0,20141221,20150516
AB1 SA,0,0,0,0,0,0,0,20141221,20150516
5W SHOW #3,0,0,0,0,0,0,0,20141221,20150516
LM1SU,0,0,0,0,0,0,0,20141221,20150516
L2SU,0,0,0,0,0,0,0,20141221,20150516
9A DEV EXPRESS SCH WED,0,0,0,0,0,0,0,20141221,20150516
BA5SCH,0,0,0,0,0,0,0,20141221,20150516
SV2UISU,0,0,0,0,0,0,0,20141221,20150516
GN2MF,0,0,0,0,0,0,0,20141221,20150516
RUB2SCH,0,0,0,0,0,0,0,20141221,20150516
7W / 5E SHOW MTTF,0,0,0,0,0,0,0,20141221,20150516
7W SHOW SCH MTTF,0,0,0,0,0,0,0,20141221,20150516
GN9SCH,0,0,0,0,0,0,0,20141221,20150516
GNX3,0,0,0,0,0,0,0,20141221,20150516
BA3SCH,0,0,0,0,0,0,0,20141221,20150516
Y3SA,0,0,0,0,0,0,0,20141221,20150516
Y2SU,0,0,0,0,0,0,0,20141221,20150516
RUBY1SA,0,0,0,0,0,0,0,20141221,20150516
GN3SA,0,0,0,0,0,0,0,20141221,20150516
9A SHOW,0,0,0,0,0,0,0,20141221,20150516
7W SHOW #2 SCH WED,0,0,0,0,0,0,0,20141221,20150516
I7 UIF1,0,0,0,0,0,0,0,20141221,20150516
GNX1 SHOW WED,0,0,0,0,0,0,0,20141221,20150516
I7UIMF,0,0,0,0,0,0,0,20141221,20150516
R2SA,0,0,0,0,0,0,0,20141221,20150516
I8UISA,0,0,0,0,0,0,0,20141221,20150516
RUB2SCHWED,0,0,0,0,0,0,0,20141221,20150516
I7UIF,0,0,0,0,0,0,0,20141221,20150516
LM2SA,0,0,0,0,0,0,0,20141221,20150516
