route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ILLINI EVENING,I6UISU,[@14.0.56288498@][1][1313598715922]/6__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,ILLINI EV 25
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/185__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/134__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/193__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/142__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/201__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/150__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/209__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/158__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/217__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/166__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/225__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
ILLINI EVENING,I6UISU,[@7.0.41950648@][2][1246908093812]/174__I6UISU,SOUTH - PAR/FAR,1,I6UISU,220S ILLINI 20
ILLINI EVENING,I6UISU,[@7.0.41950648@][1][1246908186625]/233__I6UISU,NORTH - NORTH LINCOLN,0,I6UISU,220N ILLINI 10
RED,R3MF,[@14.0.56288404@][2][1305666673266]/2__R3MF,U - LINCOLN SQUARE,1,R3MF,[@14.0.56288404@]33
RED,R3MF,[@15.0.68512636@][42][1375907652607]/0__R3MF,U - LINCOLN SQUARE,1,R3MF,[@15.0.68512636@]18
RED,R3MF,[@15.0.68512636@][42][1375907660889]/1__R3MF,U - LINCOLN SQUARE,1,R3MF,[@15.0.68512636@]19
