service_id,date,exception_type
I2 UIMF,20150119,1
I2 UIMF,20150120,1
I2 UIMF,20150121,1
I2 UIMF,20150122,1
I2 UIMF,20150126,1
I2 UIMF,20150127,1
I2 UIMF,20150128,1
I2 UIMF,20150129,1
I2 UIMF,20150202,1
I2 UIMF,20150203,1
I2 UIMF,20150204,1
I2 UIMF,20150205,1
I2 UIMF,20150209,1
I2 UIMF,20150210,1
I2 UIMF,20150211,1
I2 UIMF,20150212,1
I2 UIMF,20150216,1
I2 UIMF,20150217,1
I2 UIMF,20150218,1
I2 UIMF,20150219,1
I2 UIMF,20150223,1
I2 UIMF,20150224,1
I2 UIMF,20150225,1
I2 UIMF,20150226,1
I2 UIMF,20150302,1
I2 UIMF,20150303,1
I2 UIMF,20150304,1
I2 UIMF,20150305,1
I2 UIMF,20150309,1
I2 UIMF,20150310,1
I2 UIMF,20150311,1
I2 UIMF,20150312,1
I2 UIMF,20150316,1
I2 UIMF,20150317,1
I2 UIMF,20150318,1
I2 UIMF,20150319,1
I2 UIMF,20150330,1
I2 UIMF,20150331,1
I2 UIMF,20150401,1
I2 UIMF,20150402,1
I2 UIMF,20150406,1
I2 UIMF,20150407,1
I2 UIMF,20150408,1
I2 UIMF,20150409,1
I2 UIMF,20150413,1
I2 UIMF,20150414,1
I2 UIMF,20150415,1
I2 UIMF,20150416,1
I2 UIMF,20150420,1
I2 UIMF,20150421,1
I2 UIMF,20150422,1
I2 UIMF,20150423,1
I2 UIMF,20150427,1
I2 UIMF,20150428,1
I2 UIMF,20150429,1
I2 UIMF,20150430,1
I2 UIMF,20150504,1
I2 UIMF,20150505,1
I2 UIMF,20150506,1
I2 UIMF,20150507,1
I2 UIMF,20150511,1
I2 UIMF,20150512,1
I2 UIMF,20150513,1
I2 UIMF,20150514,1
GNX1 SHOW,20150105,1
GNX1 SHOW,20150106,1
GNX1 SHOW,20150108,1
GNX1 SHOW,20150109,1
GNX1 SHOW,20150112,1
GNX1 SHOW,20150113,1
GNX1 SHOW,20150115,1
GNX1 SHOW,20150116,1
GNX1 SHOW,20150120,1
GNX1 SHOW,20150122,1
GNX1 SHOW,20150123,1
GNX1 SHOW,20150126,1
GNX1 SHOW,20150127,1
GNX1 SHOW,20150129,1
GNX1 SHOW,20150130,1
GNX1 SHOW,20150202,1
GNX1 SHOW,20150203,1
GNX1 SHOW,20150205,1
GNX1 SHOW,20150206,1
GNX1 SHOW,20150209,1
GNX1 SHOW,20150210,1
GNX1 SHOW,20150212,1
GNX1 SHOW,20150213,1
GNX1 SHOW,20150217,1
GNX1 SHOW,20150219,1
GNX1 SHOW,20150220,1
GNX1 SHOW,20150223,1
GNX1 SHOW,20150224,1
GNX1 SHOW,20150226,1
GNX1 SHOW,20150227,1
GNX1 SHOW,20150302,1
GNX1 SHOW,20150303,1
GNX1 SHOW,20150305,1
GNX1 SHOW,20150306,1
GNX1 SHOW,20150309,1
GNX1 SHOW,20150310,1
GNX1 SHOW,20150312,1
GNX1 SHOW,20150313,1
GNX1 SHOW,20150316,1
GNX1 SHOW,20150317,1
GNX1 SHOW,20150319,1
GNX1 SHOW,20150320,1
GNX1 SHOW,20150330,1
GNX1 SHOW,20150331,1
GNX1 SHOW,20150402,1
GNX1 SHOW,20150406,1
GNX1 SHOW,20150407,1
GNX1 SHOW,20150409,1
GNX1 SHOW,20150410,1
GNX1 SHOW,20150413,1
GNX1 SHOW,20150414,1
GNX1 SHOW,20150416,1
GNX1 SHOW,20150417,1
GNX1 SHOW,20150420,1
GNX1 SHOW,20150421,1
GNX1 SHOW,20150423,1
GNX1 SHOW,20150424,1
GNX1 SHOW,20150427,1
GNX1 SHOW,20150428,1
GNX1 SHOW,20150430,1
GNX1 SHOW,20150501,1
GNX1 SHOW,20150504,1
GNX1 SHOW,20150505,1
GNX1 SHOW,20150507,1
GNX1 SHOW,20150508,1
GNX1 SHOW,20150511,1
GNX1 SHOW,20150512,1
GNX1 SHOW,20150514,1
GNX1 SHOW,20150515,1
SRE1,20150105,1
SRE1,20150106,1
SRE1,20150107,1
SRE1,20150108,1
SRE1,20150109,1
SRE1,20150112,1
SRE1,20150113,1
SRE1,20150114,1
SRE1,20150115,1
SRE1,20150116,1
SRE1,20150120,1
SRE1,20150121,1
SRE1,20150122,1
SRE1,20150123,1
SRE1,20150126,1
SRE1,20150127,1
SRE1,20150128,1
SRE1,20150129,1
SRE1,20150130,1
SRE1,20150202,1
SRE1,20150203,1
SRE1,20150204,1
SRE1,20150205,1
SRE1,20150206,1
SRE1,20150209,1
SRE1,20150210,1
SRE1,20150211,1
SRE1,20150212,1
SRE1,20150213,1
SRE1,20150217,1
SRE1,20150218,1
SRE1,20150219,1
SRE1,20150220,1
SRE1,20150223,1
SRE1,20150224,1
SRE1,20150225,1
SRE1,20150226,1
SRE1,20150227,1
SRE1,20150302,1
SRE1,20150303,1
SRE1,20150304,1
SRE1,20150305,1
SRE1,20150306,1
SRE1,20150309,1
SRE1,20150310,1
SRE1,20150311,1
SRE1,20150312,1
SRE1,20150313,1
SRE1,20150316,1
SRE1,20150317,1
SRE1,20150318,1
SRE1,20150319,1
SRE1,20150320,1
SRE1,20150330,1
SRE1,20150331,1
SRE1,20150401,1
SRE1,20150402,1
SRE1,20150406,1
SRE1,20150407,1
SRE1,20150408,1
SRE1,20150409,1
SRE1,20150410,1
SRE1,20150413,1
SRE1,20150414,1
SRE1,20150415,1
SRE1,20150416,1
SRE1,20150417,1
SRE1,20150420,1
SRE1,20150421,1
SRE1,20150422,1
SRE1,20150423,1
SRE1,20150424,1
SRE1,20150427,1
SRE1,20150428,1
SRE1,20150429,1
SRE1,20150430,1
SRE1,20150501,1
SRE1,20150504,1
SRE1,20150505,1
SRE1,20150506,1
SRE1,20150507,1
SRE1,20150508,1
SRE1,20150511,1
SRE1,20150512,1
SRE1,20150513,1
SRE1,20150514,1
SRE1,20150515,1
R4MF,20141222,1
R4MF,20141223,1
R4MF,20141224,1
R4MF,20141226,1
R4MF,20141229,1
R4MF,20141230,1
R4MF,20141231,1
R4MF,20150102,1
R4MF,20150105,1
R4MF,20150106,1
R4MF,20150107,1
R4MF,20150108,1
R4MF,20150109,1
R4MF,20150112,1
R4MF,20150113,1
R4MF,20150114,1
R4MF,20150115,1
R4MF,20150116,1
R4MF,20150119,1
R4MF,20150120,1
R4MF,20150121,1
R4MF,20150122,1
R4MF,20150123,1
R4MF,20150126,1
R4MF,20150127,1
R4MF,20150128,1
R4MF,20150129,1
R4MF,20150130,1
R4MF,20150202,1
R4MF,20150203,1
R4MF,20150204,1
R4MF,20150205,1
R4MF,20150206,1
R4MF,20150209,1
R4MF,20150210,1
R4MF,20150211,1
R4MF,20150212,1
R4MF,20150213,1
R4MF,20150216,1
R4MF,20150217,1
R4MF,20150218,1
R4MF,20150219,1
R4MF,20150220,1
R4MF,20150223,1
R4MF,20150224,1
R4MF,20150225,1
R4MF,20150226,1
R4MF,20150227,1
R4MF,20150302,1
R4MF,20150303,1
R4MF,20150304,1
R4MF,20150305,1
R4MF,20150306,1
R4MF,20150309,1
R4MF,20150310,1
R4MF,20150311,1
R4MF,20150312,1
R4MF,20150313,1
R4MF,20150316,1
R4MF,20150317,1
R4MF,20150318,1
R4MF,20150319,1
R4MF,20150320,1
R4MF,20150323,1
R4MF,20150324,1
R4MF,20150325,1
R4MF,20150326,1
R4MF,20150327,1
R4MF,20150330,1
R4MF,20150331,1
R4MF,20150401,1
R4MF,20150402,1
R4MF,20150403,1
R4MF,20150406,1
R4MF,20150407,1
R4MF,20150408,1
R4MF,20150409,1
R4MF,20150410,1
R4MF,20150413,1
R4MF,20150414,1
R4MF,20150415,1
R4MF,20150416,1
R4MF,20150417,1
R4MF,20150420,1
R4MF,20150421,1
R4MF,20150422,1
R4MF,20150423,1
R4MF,20150424,1
R4MF,20150427,1
R4MF,20150428,1
R4MF,20150429,1
R4MF,20150430,1
R4MF,20150501,1
R4MF,20150504,1
R4MF,20150505,1
R4MF,20150506,1
R4MF,20150507,1
R4MF,20150508,1
R4MF,20150511,1
R4MF,20150512,1
R4MF,20150513,1
R4MF,20150514,1
R4MF,20150515,1
SV1SA,20141227,1
SV1SA,20150103,1
SV1SA,20150110,1
SV1SA,20150117,1
SV1SA,20150321,1
SV1SA,20150328,1
I6UISA,20150124,1
I6UISA,20150131,1
I6UISA,20150207,1
I6UISA,20150214,1
I6UISA,20150221,1
I6UISA,20150228,1
I6UISA,20150307,1
I6UISA,20150314,1
I6UISA,20150404,1
I6UISA,20150411,1
I6UISA,20150418,1
I6UISA,20150425,1
I6UISA,20150502,1
I6UISA,20150509,1
I6UISA,20150516,1
GN5MF EV,20141224,1
GN5MF EV,20141231,1
GNX2,20141222,1
GNX2,20141223,1
